iter	Passed	Remaining
0	1	148
1	2	127
2	3	120
3	4	112
4	5	111
5	6	109
6	8	108
7	9	106
8	10	105
9	11	105
10	12	104
11	14	103
12	15	102
13	16	101
14	17	100
15	18	99
16	20	98
17	21	96
18	22	95
19	23	94
20	24	93
21	26	93
22	27	92
23	28	91
24	29	89
25	31	89
26	32	87
27	33	86
28	34	85
29	36	84
30	37	83
31	38	82
32	39	81
33	41	80
34	43	79
35	44	78
36	45	77
37	47	76
38	48	76
39	49	74
40	51	73
41	51	71
42	52	70
43	54	68
44	55	67
45	56	66
46	58	65
47	59	64
48	60	63
49	62	62
50	64	61
51	65	60
52	66	59
53	68	58
54	69	56
55	70	55
56	71	54
57	73	52
58	74	51
59	75	50
60	77	49
61	78	48
62	80	47
63	81	45
64	82	44
65	84	43
66	85	42
67	86	40
68	87	39
69	89	38
70	90	37
71	92	35
72	93	34
73	95	33
74	96	32
75	97	30
76	99	29
77	102	28
78	104	27
79	107	26
80	109	25
81	111	24
82	112	23
83	113	21
84	115	20
85	116	18
86	117	17
87	119	16
88	121	15
89	123	13
90	124	12
91	125	10
92	127	9
93	128	8
94	129	6
95	131	5
96	132	4
97	133	2
98	135	1
99	136	0
